filename,ssim,psnr,status
EES0423322__X2A__Y39__P007.jpg,0.822456,22.524494,ok
EES0423322__X2A__Y45__P008.jpg,0.770787,19.654660,ok
EES0423322__X2D__Y30__P009.jpg,0.798985,20.348497,ok
EES0423322__X2D__Y33__P010.jpg,0.760668,20.138281,ok
EES0423322__X2D__Y39__P011.jpg,0.879708,21.755276,ok
EES0423322__X30__Y2A__P012.jpg,0.904922,23.606129,ok
EES0423322__X36__Y30__P013.jpg,0.905509,23.737371,ok
EES0423322__X36__Y39__P014.jpg,0.831433,22.456481,ok
EES0423322__X39__Y33__P015.jpg,0.814862,21.305953,ok
EES0423322__X48__Y06__P016.jpg,0.866543,21.199262,ok
EES0423322__X48__Y09__P017.jpg,0.901958,23.370087,ok
EES0423322__X48__Y0C__P018.jpg,0.903273,23.367811,ok
EES0423322__X48__Y0F__P019.jpg,0.737307,20.259418,ok
EES0423322__X48__Y12__P020.jpg,0.848896,20.330035,ok
EES0423322__X48__Y15__P021.jpg,0.901404,23.307182,ok
EES0423322__X48__Y18__P022.jpg,0.898548,23.814153,ok
EES0423322__X48__Y1B__P023.jpg,0.900529,23.403298,ok
EES0423322__X48__Y1E__P024.jpg,0.895772,23.117885,ok
EES0423322__X48__Y21__P025.jpg,0.806350,20.837221,ok
EES0423323__X12__Y0F__P001.jpg,0.894688,21.570335,ok
EES0423323__X12__Y27__P002.jpg,0.901006,22.007154,ok
EES0423323__X12__Y2A__P003.jpg,0.752880,21.071582,ok
EES0423323__X15__Y0C__P004.jpg,0.871382,21.542861,ok
EES0423323__X18__Y0F__P005.jpg,0.903669,24.034339,ok
EES0423323__X33__Y1E__P006.jpg,0.902866,23.468885,ok
EES0423323__X03__Y18__P007.jpg,0.900008,21.563440,ok
EES0423323__X03__Y1B__P008.jpg,0.893927,22.944322,ok
EES0423323__X24__Y45__P009.jpg,0.888727,20.709531,ok
EES0423323__X27__Y06__P010.jpg,0.684576,19.402988,ok
EES0423323__X27__Y45__P011.jpg,0.905874,20.958394,ok
EES0423323__X2A__Y06__P012.jpg,0.860374,20.989413,ok
EES0423323__X2A__Y45__P013.jpg,0.867356,21.904375,ok
EES0423323__X2D__Y45__P014.jpg,0.890141,22.100189,ok
EES0423323__X30__Y48__P015.jpg,0.845939,23.354491,ok
EES0423323__X33__Y42__P016.jpg,0.904035,22.194130,ok
EES0423323__X36__Y09__P017.jpg,0.799693,21.576480,ok
EES0423323__X3F__Y1B__P018.jpg,0.805180,21.565846,ok
EES0423323__X42__Y2A__P019.jpg,0.876254,21.368893,ok
EES0423323__X42__Y2D__P020.jpg,0.878594,23.229744,ok
EES0423323__X45__Y18__P021.jpg,0.903550,20.844635,ok
EES0423323__X45__Y1B__P022.jpg,0.867457,24.132580,ok
EES0423323__X45__Y21__P023.jpg,0.865496,21.903676,ok
EES0423323__X45__Y2D__P024.jpg,0.860760,21.224434,ok
EES0423323__X06__Y0C__P025.jpg,0.886835,24.318498,ok
EES0423324__X06__Y18__P001.jpg,0.867447,22.032357,ok
EES0423324__X06__Y1B__P002.jpg,0.870952,23.456355,ok
EES0423324__X06__Y1E__P003.jpg,0.859104,24.163900,ok
EES0423324__X06__Y21__P004.jpg,0.807616,23.394278,ok
EES0423324__X06__Y24__P005.jpg,0.880153,22.952749,ok
EES0423324__X06__Y27__P006.jpg,0.896076,22.523510,ok
EES0423324__X06__Y2A__P007.jpg,0.813429,22.001601,ok
EES0423324__X06__Y2D__P008.jpg,0.844149,23.467495,ok
EES0423324__X06__Y30__P009.jpg,0.865406,24.190806,ok
EES0423324__X06__Y33__P010.jpg,0.840642,21.116866,ok
EES0423324__X06__Y36__P011.jpg,0.828989,20.965366,ok
EES0423324__X09__Y15__P012.jpg,0.878016,24.882824,ok
EES0423324__X09__Y18__P013.jpg,0.890414,25.853770,ok
EES0423324__X09__Y1B__P014.jpg,0.807519,22.486192,ok
EES0423324__X09__Y30__P015.jpg,0.849645,21.354410,ok
EES0423324__X09__Y33__P016.jpg,0.873080,22.296902,ok
